
Phase,Task,Description,Owner,Deliverable
Phase 1 – Concept & Market Validation,Define problem & market gap,"Interview local cricket academy managers, coaches and players to validate pain points around officiating and training; gather requirements for officiating and coaching features",Product Lead,"Problem statement, user requirements document"
Phase 1 – Concept & Market Validation,Quantify market opportunity,"Research market size of cricket academies and amateur clubs in London and globally; compile competitor analysis of existing single-purpose tools (PitchVision, Str8bat, etc.)",Business Analyst,Market analysis report
Phase 2 – Hardware Prototyping,Build Pitch Pod prototype,"Assemble tripod-mounted unit with high-speed camera, directional mic, thermal sensor and wireless module; integrate battery and evaluate cost",Hardware Engineer,Functional Pitch Pod prototype
Phase 2 – Hardware Prototyping,Develop Smart Stump sensor,"Design and 3D-print stump housing with embedded microcontroller, accelerometer and vibration sensor; test detection of bail dislodgement and edge vibrations",Hardware Engineer,Smart Stump prototype
Phase 2 – Hardware Prototyping,Configure The Hub,"Select SBC (e.g., NVIDIA Jetson) and integrate camera inputs and wireless feeds; implement data ingestion pipeline to AI core",Systems Engineer,Working hub with connectivity and basic data ingestion
Phase 3 – AI & Software Development,Develop ball-tracking & event detection algorithms,"Train YOLOv8 or equivalent models for ball detection and use multi-camera triangulation to compute trajectory; implement algorithms for no-ball, wides, bounce points",Computer Vision Engineer,"Model trained, tested on sample footage"
Phase 3 – AI & Software Development,Implement audio & thermal fusion,"Develop algorithms to correlate directional mic data and thermal readings for impact events (bat-ball, bat-pad); calibrate sensors for accuracy",Signal Processing Engineer,Fused signal detection module
Phase 3 – AI & Software Development,Pose estimation & biomechanics module,"Integrate MediaPipe Pose or similar to capture bowler and batter body positions; compute biomechanical metrics (bat angle, release point) for coaching analytics",Data Scientist,Pose estimation module with basic metrics
Phase 4 – Dashboard & UX,Design Specter Dashboard (web & mobile),"Create Figma wireframes for user personas (players, coaches, academy owners, parents); design modules for real-time decisions display, session highlights, statistics",UX/UI Designer,Approved wireframes and design system
Phase 4 – Dashboard & UX,Implement backend & storage,"Set up cloud backend (Firebase or custom) for user authentication, session storage, and data retrieval; ensure secure access and data segregation",Backend Developer,Functional backend with test endpoints
Phase 4 – Dashboard & UX,Develop front-end application,Build responsive web/mobile application using React or Flutter; integrate real-time dashboard for officiating decisions and post-session analytics,Front-end Developer,MVP front-end integrated with backend and AI core
Phase 5 – Pilot Testing & Iteration,Deploy MVP at pilot academy,"Install Pitch Pods, Smart Stumps and Hub at a local cricket academy; run pilot sessions to test hardware robustness and algorithm accuracy",Field Engineer,Pilot deployment report
Phase 5 – Pilot Testing & Iteration,Collect data & evaluate performance,"Gather metrics: decision accuracy (no-ball, LBW, run-out), user adoption, session counts; solicit feedback from players and coaches; record bugs and improvements",Product Manager,Pilot feedback report with improvement backlog
Phase 5 – Pilot Testing & Iteration,Refine hardware & software,"Iterate on hardware components (sensor placement, battery life) and software algorithms; address pilot feedback and fix reliability issues",Engineering Team,Updated prototype ready for broader market
Phase 6 – Market Entry & Scaling,Plan manufacturing & supply chain,"Engage with manufacturers for Pitch Pod and Smart Stump production; prepare BOM, identify suppliers and cost per unit",Operations Manager,Manufacturing plan and cost analysis
Phase 6 – Market Entry & Scaling,Develop sales & marketing strategy,"Define pricing tiers (Training, Academy, Enterprise), create marketing materials (pitch deck, demo video), plan outreach to mid-sized London academies",Sales & Marketing Lead,Go-to-market strategy document
